Title,URL,Reporting guideline acronym,Study design,Clinical area,Language,Reporting guideline provided for?,Applies to the whole report or to individual sections of the report?,Full bibliographic reference,PubMed ID,DOI,Date of publication / Ahead of print date,Reporting guideline website URL,Relevant URLs(full-text if available),Explanation and elaboration papers,Availability in additional languages,Relevant more generic / specialised reporting guidelines,Previous versions of this guideline / Guideline history,Additional information,Other,Selected relevant editorials,"Other relevant research(i.e. research regarding the guideline's effectiveness usability, impact etc.)",Primary guideline publication,Taxonomy terms,Record last updated on,Downloadable files (name|url),Equator-hosted files count
Consolidated Reporting Guidelines for Prognostic and Diagnostic Machine Learning Modeling Studies: Development and Validation,https://www.equator-network.org/reporting-guidelines/consolidated-reporting-guidelines-for-prognostic-and-diagnostic-machine-learning-modeling-studies-development-and-validation/,,"Artificial intelligence/Machine learning studies, Diagnostic and prognostic studies",,English,Reporting of prognostic and diagnostic machine learning (ML) modeling studies.,Whole report,"Klement W, El Emam K. Consolidated Reporting Guidelines for Prognostic and Diagnostic Machine Learning Modeling Studies: Development and Validation. J Med Internet Res. 2023;25:e48763.",37651179,,,,The reporting checklist can accessed from the journal website in Multimedia Appendix 1 (Word).,,,,,,,,,,,"January 25, 2024",Multimedia Appendix 1 (Word)|https://jmir.org/api/download?alt_name=jmir_v25i1e48763_app1.docx&filename=c8cfc620c0d2755b817722cd383b9f41.docx,0
Adjusting for Treatment Switching in Oncology Trials: A Systematic Review and Recommendations for Reporting,https://www.equator-network.org/reporting-guidelines/adjusting-for-treatment-switching-in-oncology-trials-a-systematic-review-and-recommendations-for-reporting/,,"Clinical trials, Experimental studies",Oncology,English,Reporting of switching-adjusted analyses in oncology trials.,Statistical methods and analyses,"Sullivan TR, Latimer NR, Gray J, Sorich MJ, Salter AB, Karnon J. Adjusting for Treatment Switching in Oncology Trials: A Systematic Review and Recommendations for Reporting. Value Health. 2020;23(3):388-396.",32197735,,,,,,,,,,,,,,,"November 10, 2023",,0
"Appropriate design and reporting of superiority, equivalence and non-inferiority clinical trials incorporating a benefit-risk assessment: the BRAINS study including expert workshop",https://www.equator-network.org/reporting-guidelines/appropriate-design-and-reporting-of-superiority-equivalence-and-non-inferiority-clinical-trials-incorporating-a-benefit-risk-assessment-the-brains-study-including-expert-workshop/,,"Clinical trials, Experimental studies, Study protocols",,English,Reporting of benefit-risk assessments when incorporated within a clinical trial.,"Harms/adverse effects/safety data, Procedure/Method, Results","Totton N, Julious SA, Coates E, Hughes DA, Cook JA, Biggs K, Hewitt C, Day S, Cook A. Appropriate design and reporting of superiority, equivalence and non-inferiority clinical trials incorporating a benefit-risk assessment: the BRAINS study including expert workshop. Health Technol Assess. 2023;27(20):1-58.",37982521,,,,Read the full-text of the reporting recommendations. Checklists have been developed for reporting the trial design and for reporting the trial results and these are available in appendix 5.,,,,,,,,,,,"January 4, 2024",,0
Commentary: minimum reporting standards should be expected for preclinical radiobiology irradiators and dosimetry in the published literature,https://www.equator-network.org/reporting-guidelines/commentary-minimum-reporting-standards-should-be-expected-for-preclinical-radiobiology-irradiators-and-dosimetry-in-the-published-literature/,,Animal pre-clinical research,Oncology,English,Reporting radiation dosimetry information in preclinical radiation studies.,"Harms/adverse effects/safety data, Intervention (exposure), Procedure/Method, Study characteristics (participants etc.)","Trompier F, DeWerd LA, Poirier Y, Dos Santos M, Sheng K, Kunugi KA, Winters TA, DiCarlo AL, Satyamitra M. Commentary: minimum reporting standards should be expected for preclinical radiobiology irradiators and dosimetry in the published literature. Int J Radiat Biol. 2023:1-6.",37695653,,,,,,,,,,,,,,,"November 1, 2023",,0
Expert consensus document: Reporting checklist for quantification of pulmonary congestion by lung ultrasound in heart failure,https://www.equator-network.org/reporting-guidelines/expert-consensus-document-reporting-checklist-for-quantification-of-pulmonary-congestion-by-lung-ultrasound-in-heart-failure/,,"Clinical trials, Diagnostic and prognostic studies, Experimental studies, Observational studies","Cardiovascular medicine, Radiology",English,Reporting of lung ultrasound (LUS) in heart failure research.,Whole report,"Platz E, Jhund PS, Girerd N, Pivetta E, McMurray JJV, Peacock WF, Masip J, Martin-Sanchez FJ, Miró Ò, Price S, Cullen L, Maisel AS, Vrints C, Cowie MR, DiSomma S, Bueno H, Mebazaa A, Gualandro DM, Tavares M, Metra M, Coats AJS, Ruschitzka F, Seferovic PM, Mueller C; Study Group on Acute Heart Failure of the Acute Cardiovascular Care Association and the Heart Failure Association of the European Society of Cardiology. Expert consensus document: Reporting checklist for quantification of pulmonary congestion by lung ultrasound in heart failure. Eur J Heart Fail. 2019;21(7):844-851.",31218825,,,,,,,,,,,,,,,"November 2, 2023",,0
Preferred Reporting Items for Resistance Exercise Studies (PRIRES) : A Checklist Developed Using an Umbrella Review of Systematic Reviews,https://www.equator-network.org/reporting-guidelines/preferred-reporting-items-for-resistance-exercise-studies-prires-a-checklist-developed-using-an-umbrella-review-of-systematic-reviews/,PRIRES,"Clinical trials, Experimental studies, Study protocols",Sport and exercise medicine,English,Reporting resistance exercise intervention studies.,Intervention (exposure),"Lin TY, Chueh TY, Hung TM. Preferred Reporting Items for Resistance Exercise Studies (PRIRES): A Checklist Developed Using an Umbrella Review of Systematic Reviews. Sports Med Open. 2023;9(1):114.",38040927,,,,,,,,,A PRIRES Checklist for Protocols has also been developed.,,,,,,"December 14, 2023",,0
Data linkage in pharmacoepidemiology: A call for rigorous evaluation and reporting,https://www.equator-network.org/reporting-guidelines/data-linkage-in-pharmacoepidemiology-a-call-for-rigorous-evaluation-and-reporting/,,Observational studies,Pharmaceutical medicine,English,Reporting data linkage for pharmacoepidemiologic studies.,Data,"Pratt NL, Mack CD, Meyer AM, Davis KJ, Hammill BG, Hampp C, Setoguchi S, Raman SR, Chun DS, Stürmer T, Lund JL. Data linkage in pharmacoepidemiology: A call for rigorous evaluation and reporting. Pharmacoepidemiol Drug Saf. 2020;29(1):9-17.",31736248,,,,,,,,,,,,,,,"November 2, 2023",,0
The SHARE : SHam Acupuncture REporting guidelines and a checklist in clinical trials,https://www.equator-network.org/reporting-guidelines/the-share-sham-acupuncture-reporting-guidelines-and-a-checklist-in-clinical-trials/,SHARE,"Clinical trials, Experimental studies",Complementary and alternative medicine,English,Reporting of sham acupuncture in acupuncture clinical trials.,Intervention (exposure),"Ma P, Liu X, Liu Z, Guo Y, Zhou K, Bian Z, Sun C, Liu T, Xiong Z, Xie Y, Lu Y, Lao L, He L, Liu B, Liu C, Yan S; SHARE Workgroup. The SHARE: SHam Acupuncture REporting guidelines and a checklist in clinical trials. J Evid Based Med. 2023;16(4):428-431.",37906211,,,,,,,,,,,,,,,"February 8, 2024",,0
Best practice guidelines for citizen science in mental health research: systematic review and evidence synthesis,https://www.equator-network.org/reporting-guidelines/best-practice-guidelines-for-citizen-science-in-mental-health-research-systematic-review-and-evidence-synthesis/,,"Clinical practice guidelines, Clinical trials, Economic evaluations, Experimental studies, Observational studies, Qualitative research, Quality improvement studies, Systematic reviews/Meta-analyses/Reviews/HTA/Overviews","Psychiatry, Psychology",English,Reporting mental health citizen science research.,"Acknowledgements, Data, Ethical issues (consent etc.), Funding, Narrative sections (discussion etc.), Procedure/Method, Title","Todowede O, Lewandowski F, Kotera Y, Ashmore A, Rennick-Egglestone S, Boyd D, Moran S, Ørjasæter KB, Repper J, Robotham D, Rowe M, Katsampa D, Slade M. Best practice guidelines for citizen science in mental health research: systematic review and evidence synthesis. Front Psychiatry. 2023;14:1175311.",37743990,,,,,,,,,,,,,,,"October 25, 2023",,0
Evaluating the quality of studies reporting on clinical applications of stromal vascular fraction: A systematic review and proposed reporting guidelines (CLINIC-STRA-SVF),https://www.equator-network.org/reporting-guidelines/evaluating-the-quality-of-studies-reporting-on-clinical-applications-of-stromal-vascular-fraction-a-systematic-review-and-proposed-reporting-guidelines-clinic-stra-svf/,CLINIC-STRA-SVF,"Clinical trials, Experimental studies, Observational studies",,English,Reporting studies evaluating therapies related to stromal vascular fraction (SVF).,Whole report,"Ferreira MY, Carvalho Junior JDC, Ferreira LM. Evaluating the quality of studies reporting on clinical applications of stromal vascular fraction: A systematic review and proposed reporting guidelines (CLINIC-STRA-SVF). Regen Ther. 2023;24:332-342.",37662694,,,,,,,,,,,,,,,"October 25, 2023",,0
ESMO Guidance for Reporting Oncology real -World evidence (GROW),https://www.equator-network.org/reporting-guidelines/esmo-guidance-for-reporting-oncology-real-world-evidence-grow/,GROW,Observational studies,Oncology,English,Reporting oncology real-world evidence (RWE) studies. GROW checklist (PDF) GROW flowchart (Word),Whole report,"Castelo-Branco L, Pellat A, Martins-Branco D, Valachis A, Derksen JWG, Suijkerbuijk KPM, Dafni U, Dellaporta T, Vogel A, Prelaj A, Groenwold RHH, Martins H, Stahel R, Bliss J, Kather J, Ribelles N, Perrone F, Hall PS, Dienstmann R, Booth CM, Pentheroudakis G, Delaloge S, Koopman M. ESMO Guidance for Reporting Oncology real-World evidence (GROW). Ann Oncol. 2023:S0923-7534(23)04018-8. PMID: 37848160 ESMO Real World Data and Digital Oncology (2023). Link to full-text",,,,https://www.esmo.org/scales-and-tools/esmo-guidance-for-reporting-oncology-real-world-evidence-esmo-grow,Access the GROW interactive checklist tool.,,,,,,,,,,,"October 18, 2023",GROW checklist (PDF)|https://www.esmo.org/content/download/775073/18293338/1/ESMO-GROW-Checklist.pdf ; GROW flowchart (Word)|https://www.esmo.org/content/download/775071/18293314/1/ESMO-GROW-Flowchart-Template.docx,0
Enhancing reporting quality and impact of early phase dose-finding clinical trials: CONSORT Dose-finding Extension (CONSORT-DEFINE) guidance,https://www.equator-network.org/reporting-guidelines/consort-define/,CONSORT-DEFINE,"Clinical trials, Experimental studies",,English,Reporting early phase dose-finding trials.,Whole report,"Yap C, Solovyeva O, de Bono J, Rekowski J, Patel D, Jaki T, Mander A, Evans TRJ, Peck R, Hayward KS, Hopewell S, Ursino M, Rantell KR, Calvert M, Lee S, Kightley A, Ashby D, Chan AW, Garrett-Mayer E, Isaacs JD, Golub R, Kholmanskikh O, Richards D, Boix O, Matcham J, Seymour L, Ivy SP, Marshall LV, Hommais A, Liu R, Tanaka Y, Berlin J, Espinasse A, Dimairo M, Weir CJ. Enhancing reporting quality and impact of early phase dose-finding clinical trials: CONSORT Dose-finding Extension (CONSORT-DEFINE) guidance. BMJ. 2023;383:e076387.",37863501,,,https://www.icr.ac.uk/our-research/researchers-and-teams/professor-christina-yap/dose-finding-consort-extension-project,Read the full-text of the CONSORT-DEFINE guideline. This reporting guideline includes the CONSORT-DEFINE for abstracts extension checklist.,,,"Generic CONSORT 2025 Statement: Hopewell S, Chan AW, Collins GS, Hróbjartsson A, Moher D, Schulz KF, Tunn R, Aggarwal R, Berkwits M, Berlin JA, Bhandari N, Butcher NJ, Campbell MK, Chidebe RCW, Elbourne D, Farmer A, Fergusson DA, Golub RM, Goodman SN, Hoffmann TC, Ioannidis JPA, Kahan BC, Knowles RL, Lamb SE, Lewis S, Loder E, Offringa M, Ravaud P, Richards DP, Rockhold FW, Schriger DL, Siegried NL, Staniszewska S, Taylor RS, Thabane L, Torgerson D, Vohra S, White IR, Boutron I. CONSORT 2025 statement: updated guideline for reporting randomised trials. BMJ. 2025; 388:e081123. PMID: 40228833 JAMA. 2025. PMID: 40228499 Lancet. 2025. PMID: 40245901 Nat Med. 2025. PMID: 40229553 PLoS Med. 2025; 22(4): e1004587. PMID: 40228477 Specialised CONSORT Harms: Junqueira DR, Zorzela L, Golder S, Loke Y, Gagnier JJ, Julious SA, Li T, Mayo-Wilson E, Pham B, Phillips R, Santaguida P, Scherer RW, Gøtzsche PC, Moher D, Ioannidis JPA, Vohra S; CONSORT Harms Group. CONSORT Harms 2022 statement, explanation, and elaboration: updated guideline for the reporting of harms in randomized trials. BMJ. 2023;381:e073725. PMID: 37094878 J Clin Epidemiol. 2023:S0895-4356(23)00090-2. PMID: 37100738 CONSORT Non-inferiority: Piaggio G, Elbourne DR, Pocock SJ, Evans SJW, Altman DG, for the CONSORT Group. Reporting of noninferiority and equivalence randomized trials. Extension of the CONSORT 2010 statement. JAMA. 2012; 308(24): 2594-2604. PMID: 23268518 CONSORT Cluster: Campbell MK, Piaggio G, Elbourne DR, Altman DG; CONSORT Group. Consort 2010 statement: extension to cluster randomised trials. BMJ. 2012;345:e5661. PMID: 22951546 CONSORT Herbal: Gagnier JJ, Boon H, Rochon P, Moher D, Barnes J, Bombardier C, for the CONSORT Group. Reporting randomized, controlled trials of herbal interventions: an elaborated CONSORT Statement. Ann Intern Med. 2006;144(5):364-367. PMID: 16520478 CONSORT Non-pharmacological treatment interventions: Boutron I, Altman DG, Moher D, Schulz KF, Ravaud P; CONSORT NPT Group. CONSORT Statement for Randomized Trials of Nonpharmacologic Treatments: A 2017 Update and a CONSORT Extension for Nonpharmacologic Trial Abstracts. Ann Intern Med. 2017;167(1):40-47. PMID: 28630973 CONSORT Abstracts: Hopewell S, Clarke M, Moher D, Wager E, Middleton P, Altman DG, Schulz KF, the CONSORT Group. CONSORT for reporting randomized controlled trials in journal and conference abstracts: explanation and elaboration. PLoS Med. 2008; 5(1):e20. PMID: 18215107 Hopewell S, Clarke M, Moher D, Wager E, Middleton P, Altman DG, Schulz KF, the CONSORT Group. CONSORT for reporting randomised trials in journal and conference abstracts. Lancet. 2008;371(9609):281-3. PMID: 18221781 CONSORT Pragmatic Trials: Zwarenstein M, Treweek S, Gagnier JJ, Altman DG, Tunis S, Haynes B, Oxman AD, Moher D; CONSORT group; Pragmatic Trials in Healthcare (Practihc) group. Improving the reporting of pragmatic trials: an extension of the CONSORT statement. BMJ. 2008;337:a2390. PMID: 19001484 STRICTA Controlled trials of acupuncture: MacPherson H, Altman DG, Hammerschlag R, Youping L, Taixiang W, White A, Moher D; STRICTA Revision Group. Revised STandards for Reporting Interventions in Clinical Trials of Acupuncture (STRICTA): extending the CONSORT statement. PLoS Med. 2010;7(6):e1000261. PMID: 20543992 CONSORT PRO: Calvert M, Blazeby J, Altman DG, Revicki DA, Moher D, Brundage MD; CONSORT PRO Group. Reporting of patient-reported outcomes in randomized trials: the CONSORT PRO extension. JAMA. 2013;309(8):814-22. PMID: 23443445 CONSORT-CENT: Vohra S, Shamseer L, Sampson M, Bukutu C, Schmid CH, Tate R, Nikles J, Zucker DR, Kravitz R, Guyatt G, Altman DG, Moher D; CENT group. CONSORT extension for reporting N-of-1 trials (CENT) 2015 Statement.BMJ. 2015;350:h1738. PMID: 25976398 CONSORT for orthodontic trials: Pandis N, Fleming PS, Hopewell S, Altman DG. The CONSORT Statement: Application within and adaptations for orthodontic trials. Am J Orthod Dentofacial Orthop. 2015;147(6):663-679. PMID: 26038070 TIDieR: Hoffmann T, Glasziou P, Boutron I, Milne R, Perera R, Moher D, Altman D, Barbour V, Macdonald H, Johnston M, Lamb S, Dixon-Woods M, McCulloch P, Wyatt J, Chan A, Michie S. Better reporting of interventions: template for intervention description and replication (TIDieR) checklist and guide. BMJ. 2014;348:g1687. PMID: 24609605 Simulation Research: Cheng A, Kessler D, Mackinnon R, Chang TP, Nadkarni VM, Hunt EA, Duval-Arnould J, Lin Y, Cook DA, Pusic M, Hui J, Moher D, Egger M, Auerbach M; International Network for Simulation-based Pediatric Innovation, Research, and Education (INSPIRE) Reporting Guidelines Investigators. Reporting Guidelines for Health Care Simulation Research: Extensions to the CONSORT and STROBE Statements. Simul Healthc. 2016;11(4):238-248. PMID: 27465839 CONSORT for pilot and feasibility trials: Eldridge SM, Chan CL, Campbell MJ, Bond CM, Hopewell S, Thabane L, Lancaster GA; on behalf of the PAFS consensus group. CONSORT 2010 statement: extension to randomised pilot and feasibility trials. Pilot and Feasibility Stud. 2016;2:64. PMID: 27965879 CONSORT-CHM formulas: Cheng C-W, Wu T-X, Shang H-C, Li Y-P, Altman DG, Moher D, Bian Z-X; for the CONSORT-CHM Formulas 2017 Group. CONSORT Extension for Chinese Herbal Medicine Formulas 2017: Recommendations, Explanation, and Elaboration. 2017. Ann Intern Med. Link to full-text. CONSORT for within person randomised trials: Pandis N, Chung B, Scherer RW, Elbourne D, Altman DG. CONSORT 2010 statement: extension checklist for reporting within person randomised trials. BMJ. 2017;357:j2835. PMID: 28667088 CONSORT Equity: Welch VA, Norheim OF, Jull J, Cookson R, Sommerfelt H, Tugwell P; CONSORT-Equity and Boston Equity Symposium. CONSORT-Equity 2017 extension and elaboration for better reporting of health equity in randomised trials. BMJ. 2017;359:j5085. PMID: 29170161 CONSORT-SPI: Montgomery P, Grant S, Mayo-Wilson E, Macdonald G, Michie S, Hopewell S, Moher D; on behalf of the CONSORT-SPI Group. Reporting randomised trials of social and psychological interventions: the CONSORT-SPI 2018 Extension. Trials. 2018;19:407. PMID: 30060754 Stepped wedge cluster randomised trials: Hemming K, Taljaard M, McKenzie JE, Hooper R, Copas A, Thompson JA, Dixon-Woods M, Aldcroft A, Doussau A, Grayling M, Kristunas C, Goldstein CE, Campbell MK, Girling A, Eldridge S, Campbell MJ, Lilford RJ, Weijer C, Forbes AB, Grimshaw JM. Reporting of stepped wedge cluster randomised trials: extension of the CONSORT 2010 statement with explanation and elaboration. BMJ. 2018;363:k1614. PMID: 30413417 CONSORT for multi-arm parallel-group randomised trials: Juszczak E, Altman DG, Hopewell S, Schulz K. Reporting of Multi-Arm Parallel-Group Randomized Trials: Extension of the CONSORT 2010 Statement. JAMA. 2019;321(16):1610-1620. PMID: 31012939 CONSORT 2010 extension to randomised crossover trials: Dwan K, Li T, Altman DG, Elbourne D. CONSORT 2010 statement: extension to randomised crossover trials. BMJ. 2019;366:l4378. PMID: 31366597 CENT for TCM: Li J, Hu JY, Zhai JB, Niu JQ, Kwong JSW, Ge L, Li B, Wang Q, Wang XQ, Wei D, Tian JH, Ma B, Yang KH, Dai M, Tian GH, Shang HC; CENT for TCM Working Group. CONSORT extension for reporting N-of-1 trials for traditional Chinese medicine (CENT for TCM): Recommendations, explanation and elaboration. Complement Ther Med. 2019;46:180-188. PMID: 31519276 STRICTOC: Zhang X, Tian R, Lam WC, Duan Y, Liu F, Zhao C, Wu T, Shang H, Tang X, Lyu A, Bian Z. Standards for reporting interventions in clinical trials of cupping (STRICTOC): extending the CONSORT statement. Chin Med. 2020;15:10. PMID: 32021646 ACE Statement: Dimairo M, Pallmann P, Wason J, Todd S, Jaki T, Julious SA, Mander AP, Weir CJ, Koenig F, Walton MK, Nicholl JP, Coates E, Biggs K, Hamasaki T, Proschan MA, Scott JA, Ando Y, Hind D, Altman DG; ACE Consensus Group. The adaptive designs CONSORT extension (ACE) statement: a checklist with explanation and elaboration guideline for reporting randomised trials that use an adaptive design. BMJ. 2020;369:m115. PMID: 32554564 Trials. 2020;21(1):528. PMID: 32546273 CONSORT-AI: Liu X, Rivera SC, Moher D, Calvert MJ, Denniston AK; on behalf of the SPIRIT-AI and CONSORT-AI Working Group. Reporting guidelines for clinical trial reports for interventions involving artificial intelligence: the CONSORT-AI Extension. BMJ 2020;370:m3164. PMID: 32909959 Nat Med. 2020:26(9):1364–1374. PMID: 32908283 Lancet Digital Health. 2020;2(10):e537-e548. PMID: 33328048 CONSORT-ROUTINE: Kwakkenbos L, Imran M, McCall SJ, McCord KA, Fröbert O, Hemkens LG, Zwarenstein M, Relton C, Rice DB, Langan SM, Benchimol EI, Thabane L, Campbell MK, Sampson M, Erlinge D, Verkooijen HM, Moher D, Boutron I, Ravaud P, Nicholl J, Uher R, Sauvé M, Fletcher J, Torgerson D, Gale C, Juszczak E, Thombs BD. CONSORT extension for the reporting of randomised controlled trials conducted using cohorts and routinely collected data (CONSORT-ROUTINE): checklist with explanation and elaboration. BMJ. 2021;373:n857. PMID: 33926904 CONSORT-Outcomes: Butcher NJ, Monsour A, Mew EJ, Chan AW, Moher D, Mayo-Wilson E, Terwee CB, Chee-A-Tow A, Baba A, Gavin F, Grimshaw JM, Kelly LE, Saeed L, Thabane L, Askie L, Smith M, Farid-Kapadia M, Williamson PR, Szatmari P, Tugwell P, Golub RM, Monga S, Vohra S, Marlin S, Ungar WJ, Offringa M. Guidelines for Reporting Outcomes in Trial Reports: The CONSORT-Outcomes 2022 Extension. JAMA. 2022;328(22):2252-2264. PMID: 36511921 CONSORT Factorial: Kahan BC, Hall SS, Beller EM, Birchenall M, Chan AW, Elbourne D, Little P, Fletcher J, Golub RM, Goulao B, Hopewell S, Islam N, Zwarenstein M, Juszczak E, Montgomery AA. Reporting of Factorial Randomized Trials: Extension of the CONSORT 2010 Statement. JAMA. 2023;330(21):2106-2114. PMID: 38051324 CONSORT-Surrogate: Manyara AM, Davies P, Stewart D, Weir CJ, Young AE, Blazeby J, Butcher NJ, Bujkiewicz S, Chan AW, Dawoud D, Offringa M, Ouwens M, Hróbjartssson A, Amstutz A, Bertolaccini L, Bruno VD, Devane D, Faria CDCM, Gilbert PB, Harris R, Lassere M, Marinelli L, Markham S, Powers JH 3rd, Rezaei Y, Richert L, Schwendicke F, Tereshchenko LG, Thoma A, Turan A, Worrall A, Christensen R, Collins GS, Ross JS, Taylor RS, Ciani O. Reporting of surrogate endpoints in randomised controlled trial reports (CONSORT-Surrogate): extension checklist with explanation and elaboration. BMJ. 2024;386:e078524. PMID: 38981645 CONSORT-iNeurostim: Duarte RV, Bresnahan R, Copley S, Eldabe S, Thomson S, North RB, Baranidharan G, Levy RM, Collins GS, Taylor RS. Reporting guidelines for randomised controlled trial reports of implantable neurostimulation devices: the CONSORT-iNeurostim extension. EClinicalMedicine. 2024;78:102932. PMID: 39606687 CONSORT CRXO: McKenzie JE, Taljaard M, Hemming K, Arnup SJ, Giraudeau B, Eldridge S, Hooper R, Kahan BC, Li T, Moher D, Turner EL, Grimshaw JM, Forbes AB. Reporting of cluster randomised crossover trials: extension of the CONSORT 2010 statement with explanation and elaboration. BMJ. 2025;388:e080472. PMID: 39761979",,Read a paper published in BMC Medicine about the development of the guideline. Read the guideline development protocol (PDF).,,,,,,"May 30, 2025",protocol (PDF)|https://www.equator-network.org/wp-content/uploads/2022/05/DF-CONSORT-protocol-v1.2_FINAL.pdf,1
